acronym,category,feature,Coefficient
PSY,psycholinguistic,processes-negative-sad,0.33372576599741777
LEX,lexical,death,0.314632889230535
STY,stylometry,corpus-length,0.3070971763195862
STY,stylometry,corpus-syllabes-count,0.29438471344208406
STY,stylometry,corpus-words-count,0.2912354693235639
LEX,lexical,health,0.2780676224863825
PSY,psycholinguistic,processes-negative-anger,0.26175479942576896
ERR,errors,orthographics,0.246143743316102
STY,stylometry,corpus-words-per-sentence,0.23344369702381274
PSY,psycholinguistic,processes-negative-general,0.23224833152689506
PSY,psycholinguistic,processes-negative,0.22806864779422975
MOR,morphosyntax,morphology-adjectives,0.21558742556084987
MOR,morphosyntax,morphology-adjectives-qualifying,0.213206655922213
MOR,morphosyntax,morphology-nouns,0.20466150749933165
STY,stylometry,corpus-titlecase,0.19173105565064352
STY,stylometry,punctuation-symbols-fullstop,0.18888661971007137
PSY,psycholinguistic,processes-negative-anxiety,0.18827831946578444
MOR,morphosyntax,morphology-nouns-common,0.18745436750868238
STY,stylometry,corpus-words-with-4ltr,0.18386923033034996
MOR,morphosyntax,affixes-prefixes,0.18368666254594324
LEX,lexical,social-cognitive,0.18278540177626468
MOR,morphosyntax,morphology-verbs-inflection-irregular,0.18097862559146582
PSY,psycholinguistic,processes,0.18046301976877643
MOR,morphosyntax,morphology-conjunctions,0.1800455599420392
STY,stylometry,corpus-inflesz,0.1795990374949743
MOR,morphosyntax,morphology-pronouns-personal-number,0.17807942722961867
MOR,morphosyntax,morphology-verbs-number,0.17673288232555473
MOR,morphosyntax,morphology-determiners,0.17596884921589284
MOR,morphosyntax,morphology-determiners-articles,0.174789941101813
STY,stylometry,punctuation-symbols-space,0.1732705030443662
MOR,morphosyntax,morphology-prepositions,0.1725422217452457
MOR,morphosyntax,morphology-verbs-number-singular-first,0.17146030833390213
MOR,morphosyntax,morphology-verbs-number-singular,0.1705677759371267
MOR,morphosyntax,morphology-pronouns-personal-person-second,0.17026445117407585
MOR,morphosyntax,affixes-suffixes,0.1688408737030649
MOR,morphosyntax,morphology-pronouns-personal-person-first,0.16883204168937738
STY,stylometry,corpus-words-with-8ltr,0.16810548528817426
MOR,morphosyntax,affixes-suffixes-nominals,0.16729317416329037
STY,stylometry,corpus-readability,0.16689076058296282
STY,stylometry,corpus-TTR-standard,0.16685685816633544
STY,stylometry,corpus-words-with-1ltr,0.16628458724155726
MOR,morphosyntax,morphology-pronouns-personal-number-singular,0.16626338977518618
MOR,morphosyntax,morphology-pronouns-personal,0.16624470363853794
MOR,morphosyntax,morphology-prepositions-individual,0.16579054043519292
STY,stylometry,corpus-words-with-5ltr,0.16536913793063723
MOR,morphosyntax,morphology-pronouns-personal-number-plural,0.16536011820972574
MOR,morphosyntax,morphology-verbs-function-auxiliary,0.165215579924205
STY,stylometry,corpus-TTR,0.16419298491887835
MOR,morphosyntax,morphology-verbs-number-singular-third,0.1637545307353463
MOR,morphosyntax,morphology-verbs-function-copulative,0.16312874087788387
MOR,morphosyntax,morphology-pronouns-personal-person,0.16304116830357707
MOR,morphosyntax,morphology-pronouns-personal-person-third,0.16219577810084207
MOR,morphosyntax,morphology-verbs-mode-indicative,0.16219299354093808
STY,stylometry,corpus-words-with-7ltr,0.1610745168014085
STY,stylometry,corpus-syllabes-per-word,0.16077911811835577
MOR,morphosyntax,affixes-suffixes-adjectivizers,0.15980922618655047
LEX,lexical,social-cognitive-insight,0.15888287467066275
MOR,morphosyntax,morphology-verbs-inflection-regular,0.1588140027444127
STY,stylometry,corpus-words-with-2ltr,0.15833652069715765
LEX,lexical,social-analytic,0.15808151682924398
MOR,morphosyntax,morphology-verbs-function-main,0.1578926711341917
MOR,morphosyntax,morphology-verbs-indicative-simple-imperative,0.15754994664090427
MOR,morphosyntax,morphology-pronouns-impersonal,0.15738593878498364
PSY,psycholinguistic,processes-positive,0.1563984317015752
STY,stylometry,corpus-words-longer-6tr,0.1561568091902532
STY,stylometry,corpus-words-with-9ltr,0.15577359889511344
MOR,morphosyntax,morphology-verbs-indicative-simple-present,0.15552535560460345
MOR,morphosyntax,morphology-adverbs,0.15460035844910758
STY,stylometry,corpus-words-with-6ltr,0.15438490840343055
MOR,morphosyntax,morphology-conjunctions-coordinating,0.15420858781357216
MOR,morphosyntax,gender-words-masculine,0.15366544555398232
MOR,morphosyntax,morphology-verbs-imperative,0.15311302710671448
MOR,morphosyntax,morphology-verbs-tense-present,0.1516941896778392
ERR,errors,orthographics-misspelled-words,0.15063099979220151
MOR,morphosyntax,number-singular,0.15028125936481063
MOR,morphosyntax,morphology-verbs-intransitive,0.149925398313278
MOR,morphosyntax,morphology-pronouns-personal-gender,0.14992353115691692
STY,stylometry,corpus-words-with-3ltr,0.149870549832261
MOR,morphosyntax,morphology-verbs-indicative-simple,0.14984900926762057
LEX,lexical,social-perceptual-processes,0.14792065436744473
MOR,morphosyntax,morphology-verbs-transitive,0.14431412229011187
STY,stylometry,corpus-words-length-avg,0.1417120225141697
MOR,morphosyntax,morphology-conjunctions-subordinating,0.14140898354262754
MOR,morphosyntax,gender-words-feminine,0.14113484898687956
MOR,morphosyntax,morphology-pronouns-personal-gender-neutral,0.14080639136524642
PSY,psycholinguistic,processes-positive-general,0.1406619135488123
MOR,morphosyntax,morphology-verbs-subjunctive-simple,0.1397653291559826
LEX,lexical,social-relativity-space,0.13912460251542536
LEX,lexical,social-relativity-time,0.13831315202658168
LEX,lexical,social-cognitive-tentativeness,0.13696483944577942
MOR,morphosyntax,morphology-verbs-subjunctive-simple-present,0.13225927147648164
MOR,morphosyntax,morphology-verbs-number-singular-second,0.13192048130552614
STY,stylometry,punctuation-symbols-commas,0.1309745051181972
ERR,errors,orthographics-sentences-starting-in-lowercase,0.12953542060197742
MOR,morphosyntax,morphology-verbs-mode-subjunctive,0.1282475851332947
MOR,morphosyntax,affixes-suffixes-augmentative,0.1270439987071179
STY,stylometry,punctuation-symbols-colons,0.1266175272676051
MOR,morphosyntax,morphology-verbs-nonfinite-infinitive,0.1264836469255468
LEX,lexical,social-cognitive-discrepancies,0.12600792415619688
STY,stylometry,corpus-words-with-10ltr,0.1251302563571408
LEX,lexical,social-relativity-movement,0.12488018738458395
MOR,morphosyntax,morphology-pronouns,0.12324142216431522
MOR,morphosyntax,number-plural,0.12239096492387791
MOR,morphosyntax,morphology-verbs-nonfinite-participle,0.12152449053595893
LEX,lexical,personal-work,0.11915332386462962
LEX,lexical,social-perceptual-feel,0.11847330440691506
LEX,lexical,social-cognitive-cause,0.11610458971388882
MOR,morphosyntax,affixes-suffixes-diminutives,0.11478079243162576
MOR,morphosyntax,morphology-adverbs-negation,0.11366859045993971
MOR,morphosyntax,morphology-nouns-proper,0.11299331849307981
MOR,morphosyntax,morphology-pronouns-interrogative,0.10951692271467817
LEX,lexical,social-cognitive-certainty,0.1068673145634329
MOR,morphosyntax,morphology-verbs-indicative-compound,0.10347693355847509
MOR,morphosyntax,morphology-verbs-tense-past,0.10140396072094848
STY,stylometry,corpus-words-with-11ltr,0.10111357620885775
STY,stylometry,sentences-count,0.09738913482502021
MOR,morphosyntax,morphology-determiners-possessive,0.09528247457155103
MOR,morphosyntax,morphology-verbs-number-plural,0.09477933742267464
MOR,morphosyntax,morphology-verbs-number-plural-third,0.08902756832973813
MOR,morphosyntax,morphology-verbs-indicative-compound-past-perfect,0.0848558660733767
MOR,morphosyntax,affixes-suffixes-adverbializers,0.08096518299979838
LEX,lexical,social-perceptual-hear,0.07989297074115376
PSY,psycholinguistic,processes-positive-pleasure,0.07896168481889232
MOR,morphosyntax,morphology-pronouns-personal-enclitics,0.07125867425296128
LEX,lexical,social-affiliation,0.06900431877795432
STY,stylometry,corpus-words-with-12ltr,0.06649738390590176
STY,stylometry,corpus-uppercase,0.06585016876551553
STY,stylometry,punctuation-symbols-backslash,0.06500928301372166
REG,register,informal-speech-colloquialisms,0.06475861979823616
MOR,morphosyntax,morphology-pronouns-demonstrative,0.06461879387551805
STY,stylometry,punctuation-symbols-numero-sign,0.06440985430151835
LEX,lexical,social-achievement,0.0642075671229212
LEX,lexical,social-inclusive,0.05865855719188984
MOR,morphosyntax,morphology-verbs-nonfinite-gerund,0.056148133544713374
STY,stylometry,punctuation-symbols-quotation-close,0.055570985809685336
MOR,morphosyntax,morphology-determiners-demostrative,0.05416511500030685
STY,stylometry,punctuation-symbols-quotation-open,0.05364761262313955
LEX,lexical,ingesting,0.052547643637919084
MOR,morphosyntax,morphology-pronouns-indefinite,0.05213226175401564
LEX,lexical,social-social-male,0.0457982274931501
LEX,lexical,body,0.04510961174426198
MOR,morphosyntax,morphology-verbs-indicative-simple-past,0.043907747571005906
SOC,social media,urls,0.043748769309244206
PRA,pragmatics,figurative-language-similes,0.042703030906741546
REG,register,offensive-speech,0.042676105444340084
LEX,lexical,social-friendship,0.0422931550756811
LEX,lexical,social-perceptual-explore,0.04226921585637955
STY,stylometry,corpus-words-with-13ltr,0.04177138042089146
MOR,morphosyntax,morphology-nouns-female,0.04078875906617929
MOR,morphosyntax,morphology-adverbs-affirmation,0.040107317559595845
LEX,lexical,social-risk,0.04009690463930404
STY,stylometry,punctuation-symbols-brackets-open,0.0393535163818024
MOR,morphosyntax,morphology-determiners-indefinite,0.03832193684841112
LEX,lexical,social-social-family,0.03725990119974387
LEX,lexical,home,0.03665927165417138
MOR,morphosyntax,morphology-verbs-conditional,0.036168687856143134
REG,register,informal-speech-assent,0.03523130169884814
LEX,lexical,social-perceptual-see,0.03392599755019621
MOR,morphosyntax,affixes-suffixes-despective,0.03339765185185639
LEX,lexical,sex,0.03336722314165863
MOR,morphosyntax,morphology-determiners-total,0.03321826357128943
LEX,lexical,personal-money,0.033109131551731785
STY,stylometry,punctuation-symbols-open-question,0.032730388980627634
MOR,morphosyntax,morphology-adverbs-interrogative,0.03224391748309996
STY,stylometry,sentences-pasive-percentage,0.03145022967574862
MOR,morphosyntax,morphology-verbs-indicative-simple-conditional,0.030671490861939432
MOR,morphosyntax,morphology-adverbs-doubt-or-desire,0.03065593829797164
REG,register,offensive-speech-soft,0.030221288299107307
MOR,morphosyntax,morphology-verbs-indicative-compound-present-perfect,0.02826443464577455
MOR,morphosyntax,morphology-pronouns-negative,0.02796068823797304
STY,stylometry,punctuation-symbols-curly-brackets-close,0.02773769676686877
LEX,lexical,social-perceptual-surprise,0.027239435798554368
MOR,morphosyntax,morphology-interjections,0.026979493989549574
REG,register,offensive-speech-strong,0.02640864965649037
REG,register,informal-speech-swear,0.02604700743385102
PRA,pragmatics,courtesy-forms,0.02506748500006095
SOC,social media,mentions-in-the-middle,0.024481227126616822
STY,stylometry,punctuation-symbols-open-exclamation,0.024438821443333314
LEX,lexical,social-social-female,0.02422533872496846
LEX,lexical,personal-religion,0.023720469338115446
MOR,morphosyntax,morphology-verbs-indicative-simple-future,0.023391934973524986
MOR,morphosyntax,morphology-nouns-male,0.023304505005067977
MOR,morphosyntax,morphology-verbs-subjunctive-simple-past,0.023212531763326716
MOR,morphosyntax,morphology-verbs-number-plural-second,0.022770768855508106
ERR,errors,stylistics,0.022457994339687648
LEX,lexical,persons,0.0216580679880507
SOC,social media,hashtags,0.02130035545314035
SOC,social media,mentions,0.020452149915143103
LEX,lexical,organisations,0.020219848971060106
MOR,morphosyntax,morphology-prepositions-locutions,0.019372227738069903
LEX,lexical,others,0.019271506616013845
MOR,morphosyntax,morphology-adjectives-superlative,0.01917578704427436
LEX,lexical,jobs,0.019033362355580064
STY,stylometry,punctuation-symbols-low-dashes,0.01872111096941742
LEX,lexical,locations,0.018657141798756882
REG,register,polite-language-cultisms,0.018540973330617216
STY,stylometry,corpus-words-with-15ltr,0.0183963072358293
STY,stylometry,sentences-exclamative-percentage,0.01838322647975943
MOR,morphosyntax,morphology-pronouns-personal-gender-male,0.01808611832984619
MOR,morphosyntax,affixes-suffixes-verbalizers,0.017794715527714278
ERR,errors,orthographics-misspelled-accents-words,0.01735910821390707
MOR,morphosyntax,morphology-adjectives-despective,0.016131014348931938
MOR,morphosyntax,morphology-nouns-numerals,0.015931105829866787
MOR,morphosyntax,morphology-verbs-tense-future,0.01556452087781146
PRA,pragmatics,courtesy-forms-general,0.01520662649476856
MOR,morphosyntax,morphology-verbs-number-plural-first,0.015001670625286678
STY,stylometry,corpus-words-with-14ltr,0.014400346377675177
PRA,pragmatics,courtesy-forms-farewell,0.014325553315091444
STY,stylometry,punctuation-symbols-ditto-mark,0.013989240442552564
MOR,morphosyntax,morphology-nouns-topics-demonyms,0.013875331600436525
STY,stylometry,sentences-interrogative-percentage,0.013774369052681479
ERR,errors,sentences-starting-with-the-same-word,0.013340392377491295
REG,register,informal-speech-sms,0.01284140250904775
ERR,errors,performance-two-or-more-consecutive-commas,0.012380914083466532
MOR,morphosyntax,morphology-pronouns-total,0.01224795517030941
ERR,errors,performance-duplicated-words,0.011739490313334322
PRA,pragmatics,discourse-markers-structuring-order,0.011622445310966345
STY,stylometry,punctuation-symbols-hash,0.011492955423870299
MOR,morphosyntax,morphology-determiners-emphatic,0.011340533827639998
MOR,morphosyntax,morphology-adverbs-others,0.01133645251802351
PRA,pragmatics,discourse-markers-connectors,0.011250093569900699
PSY,psycholinguistic,processes-negative-emoticons,0.010697153471925347
ERR,errors,performance,0.010135054574566205
STY,stylometry,punctuation-symbols-dashes,0.01002603142929237
MOR,morphosyntax,morphology-verbs-subjunctive-compound-pluperfect,0.010011159851680773
PHO,phonetics,expressive-lengthening,0.010003268171465685
MOR,morphosyntax,morphology-verbs-subjunctive-simple-future,0.009943956544847143
,semantics,dysfemisms,0.009541583082246952
PSY,psycholinguistic,processes-positive-emoticons,0.009496986860335621
MOR,morphosyntax,morphology-verbs-subjunctive-compound,0.008778327281888654
MOR,morphosyntax,morphology-nouns-dates-dmt,0.008594838269606164
MOR,morphosyntax,morphology-nouns-topics-countries,0.008471884286394893
PRA,pragmatics,figurative-language-understatements,0.008290801051046959
STY,stylometry,punctuation-symbols-apostrophe,0.008071416129832532
PRA,pragmatics,figurative-language-hyperboles,0.00798888709674328
STY,stylometry,sentences-quotes-percentage,0.007906020602726826
MOR,morphosyntax,morphology-nouns-dates-textual-days,0.007683411216202085
PRA,pragmatics,figurative-language-metaphors,0.007502151567688742
STY,stylometry,punctuation-symbols-mathematical-signs,0.007498378559358976
REG,register,informal-speech-nonfluencies,0.00749161447935931
MOR,morphosyntax,morphology-determiners-negative,0.007457010202492675
LEX,lexical,crime,0.0073266677235919175
STY,stylometry,punctuation-symbols-pilcrow,0.007197746661805393
MOR,morphosyntax,morphology-verbs-subjunctive-compound-past-perfect,0.006983598526428381
STY,stylometry,corpus-words-with-21ltr,0.0068084656854434655
PRA,pragmatics,discourse-markers-structuring,0.0067492217502813645
MOR,morphosyntax,morphology-verbs-periphrasis-temporal-aspect-phase,0.006746290750316852
MOR,morphosyntax,morphology-verbs-periphrasis-temporal-aspect-temporal-recent-posteriority,0.006715775787524247
MOR,morphosyntax,morphology-pronouns-personal-gender-female,0.006448413352433846
MOR,morphosyntax,morphology-verbs-periphrasis-temporal-aspect-temporal-current,0.006408212870383956
PHO,phonetics,phonetics,0.006400589337849372
MOR,morphosyntax,morphology-nouns-dates-textual-long,0.006382181680759658
STY,stylometry,corpus-expressions-quoted,0.006192003622403686
MOR,morphosyntax,morphology-nouns-dates,0.0060388751148696684
PRA,pragmatics,courtesy-forms-requirements,0.006010367929567995
MOR,morphosyntax,morphology-determiners-relative,0.006008901807908362
STY,stylometry,punctuation-symbols-currencies,0.005977911214199327
STY,stylometry,sentences-conversations,0.005618886804375833
SOC,social media,reply-female,0.005577302375698867
PRA,pragmatics,figurative-language-verbal-irony,0.0054613586909662
PRA,pragmatics,discourse-markers-connectors-additive,0.005356058833689836
MOR,morphosyntax,morphology-verbs-periphrasis-temporal-aspect-temporal-ending,0.005226158046129026
MOR,morphosyntax,morphology-verbs-periphrasis-temporal-aspect-temporal-transitional,0.004896819225111315
MOR,morphosyntax,gender-words-common,0.00486619945068556
PRA,pragmatics,discourse-markers-connectors-counter-augmentative,0.004820166444103435
PRA,pragmatics,discourse-markers-argumentative-concretion,0.004732704827677736
MOR,morphosyntax,morphology-verbs-periphrasis-temporal-aspect-temporal-habit,0.00435009596929925
PRA,pragmatics,courtesy-forms-greetings,0.004250861363260139
STY,stylometry,punctuation-symbols-semicolons,0.003994486020220123
MOR,morphosyntax,morphology-verbs-periphrasis-modals-obligation,0.00395234222096974
STY,stylometry,corpus-TTR-deviation,0.003920956319716673
STY,stylometry,punctuation-symbols-ampersand,0.003894130724736211
PRA,pragmatics,discourse-markers-argumentative-reinforcement,0.0036576358784121688
MOR,morphosyntax,morphology-verbs-indicative-compound-future-perfect,0.003526244670959855
,semantics,euphemisms,0.0034083580804975533
MOR,morphosyntax,morphology-nouns-topics-capitals,0.0033364607842432115
MOR,morphosyntax,morphology-verbs-periphrasis,0.003236713374742184
ERR,errors,performance-dot-after-exclamation-or-interrogation,0.0031964446455536866
PRA,pragmatics,discourse-markers-reformers-distance,0.0031260885674777583
MOR,morphosyntax,morphology-nouns-dates-mdy,0.003116500021866919
MOR,morphosyntax,morphology-verbs-periphrasis-temporal-aspect-temporal-initial,0.002957766774128512
PRA,pragmatics,discourse-markers-connectors-consecutive,0.0028764666932619143
MOR,morphosyntax,gender-words-neutral,0.002657098768659605
MOR,morphosyntax,morphology-nouns-dates-ymd,0.002636480944848252
STY,stylometry,punctuation-symbols-line-breaks,0.002460143063613529
STY,stylometry,sentences-exclamative-percentage-emphasis,0.002430193435980943
MOR,morphosyntax,morphology-verbs-indicative-compound-pluperfect,0.0023571100835768632
MOR,morphosyntax,morphology-nouns-dates-textual-short,0.002302513487357327
MOR,morphosyntax,morphology-verbs-indicative-compound-conditional-perfect,0.002131985773337064
PRA,pragmatics,discourse-markers-structuring-commenters,0.00206752394848575
STY,stylometry,corpus-words-with-25ltr,0.0020178569775883837
SOC,social media,jargon,0.0019804272773082943
ERR,errors,performance-common-errors,0.0019009762079238435
MOR,morphosyntax,morphology-nouns-topics-colors,0.0018541859721667997
STY,stylometry,punctuation-symbols-at-sign,0.0016526499556661634
STY,stylometry,punctuation-symbols-degree,0.0015551448501702758
MOR,morphosyntax,morphology-determiners-reciprocal,0.0015301688527751267
LEX,lexical,animals,0.001509282058343775
STY,stylometry,corpus-words-with-19ltr,0.0014892212547090722
STY,stylometry,punctuation-symbols-percentages,0.0014111094395778956
LEX,lexical,body-female-genitalia,0.0012758137436641448
PRA,pragmatics,figurative-language-idiomatics-expressions,0.0009065811441608673
STY,stylometry,punctuation-symbols-pipe,0.0008820485816229962
STY,stylometry,punctuation-symbols-bullet,0.0008249007624576699
STY,stylometry,corpus-expressions-within-asterisks,0.0006204186351164154
MOR,morphosyntax,morphology-pronouns-relative,0.00046057225421414216
LEX,lexical,clothes,0.00041142461356091786
MOR,morphosyntax,morphology-pronouns-reciprocal,0.00039292681371660976
SOC,social media,emoticons,0.0002602665829103401
LEX,lexical,food,0.00021284260276788203
REG,register,polite-language-latinisms,0.00019391461273476907
STY,stylometry,punctuation-symbols-prime,0.00017464256872656847
